Italy,Roberto Cipresso
France,Château Perthus
France,Domaine les Carmels
US,Method
US,Rose 'N' Blum
South Africa,Weltevrede
France,Domaine Christophe Camu
France,Domaine Jean Chartron
South Africa,Leopard Frog
Portugal,Herdade do Monte da Ribeira
Italy,Il Brunone
US,LeSaffre
US,Evolve
France,Martinelle
Austria,Bauer
Spain,Besllum
France,Domaine Saint Pierre
France,Domaine des Remizières
Spain,Viña Alarba
Spain,Casa de la Reina
Austria,Blaufränkisch
US,Joanne Weir
Spain,Magnífico
US,Palazzo Wine
US,Used Automobile Parts
Australia,Littore
France,Pierre Deschamps
US,Ladybug
Spain,No Time
US,Diablita
France,DOC Wine Selection
France,Régis Minet
Spain,Vertijana
France,Château Tour Saint-Joseph
France,Domaine Gerard Charvet
US,White Rose
Spain,Berta Franquet
US,Sawbuck
US,Labyrinth
US,Calista
US,O'Connor
Chile,Santa Carolina 2008 Reserva de Familia Chardonnay (Casablanca Valley)
France,Marc Deschamps
Italy,Villa Giulia
France,Les Rochettes
US,The Academy
France,Château Duc d'Arnauton
France,Château la Croizille
France,Château Moulin Lafitte
Italy,Centovigne
France,Château Bellerive
France,Château Coussieu-Coutelin
Spain,Finca Arantei
Italy,Salatin
Mexico,Emevé
Italy,Viberti Giovanni
US,Herman Walters
US,Moss Roxx
Spain,Idrias
US,Forge Cellars
South Africa,Cape Point Vineyards
Italy,Cantina Luciani
Australia,Apogee
Germany,Dr. F. Weins-Prüm
Germany,Mönchhof
US,Lucky
US,Merisi
US,Saturday Night Red
Spain,Pablo Claro
Australia,Yangarra Park
Chile,D. Bosler
US,Deux Amis
South Africa,Malan
Australia,Bellarine Estate
Australia,Reynolds
Australia,Mak
Australia,Killerby
France,Domaine de l'Eole
US,Carter
France,Domaine de la Berthète
Italy,Ca' Lojera
Slovenia,Edi Simcic
France,Paul Prieur et Fils
US,Kings Carey
Italy,Strasserhof
Portugal,Raposeira
France,Domaine de Pontefract
France,Domaine St Martin d'Agel
Italy,Donelli
US,Double Bond
Spain,Marqués de Chivé
Spain,Radio Boca
Spain,Adrás
Spain,Rectoral de Amandi
France,Domaine aux Moines
Portugal,LIV
Spain,Malondro
Germany,Dönnhoff
Germany,Moselland
Spain,Bodegas Soledad
Germany,Flying Ace
US,Mineral Wines
France,Villa Dria
France,Vignobles Dom Brial
US,Gianni Buonomo
France,Château Moulin de Clotte
Italy,Luca Faccinelli
Italy,La Corsa
US,Caraccioli
US,Vint Hill
US,Lady Hill
France,Château Clos Moulin Pontet
France,Château de Bergun
France,Château la Roseraie
France,Château Larrat
France,Château Monconseil Gazin
France,Domaine les Riquets
Australia,Frisk
Israel,Zion Fine Wines
South Africa,Steenberg
Italy,Ronchi di Giancarlo Rocca
France,Château Franc Couplet
France,Château Grand-Portail
France,Château Jeanguillon
France,Mas Janeil by Francois Lurton
France,Château de Lagorce
US,Travis
US,Lexicon
US,Odyssey
Spain,Argami
Italy,Le Calle
US,Puma Road
South Africa,Stonewalker
South Africa,Bain's Way
Spain,Xabec
US,Compass
US,Nelson
US,Sutter Home
Italy,Edi Keber
Portugal,Fitapreta
Spain,Parra Family
Bulgaria,Villa Melnik
Italy,Fratelli Bucci
France,Douce Nature
France,Domaine Sébastien Dampt
Spain,Pazo de Arribi
US,La Storia by Trentadue
US,MommyJuice
US,Raised By Wolves
France,Château Bois Cardon
Spain,Ophalum
Argentina,Caminada
US,Keefer Ranch
Italy,Vitas
Spain,Lágrimas de Maria
France,Domaine de la Forêt
Italy,Case del Feudo
France,La Châsse du Pape
France,Château de Riberon
Austria,Erich Scheiblhofer
US,Baux Wine
Argentina,Xavier Flouret
US,Saint Helena Winery
Italy,Sorelle De Nicola
US,Animo
France,Château Noaillac
France,Château Peyfaures
France,Château Roc Taillade
US,Vagabond
France,François Montand
Spain,Fedriani Laffitte
France,Château la Tour Sainte Anne
US,Sonoma Trail
Australia,Gilligan
Spain,Agro de Bazán
Italy,Contrade di Taurasi
Spain,Gazur
Lebanon,Château Ksara
Australia,Deakin Estate
US,Geode
US,Renaissance
Australia,Teal Lake
France,The Furst...
US,Montagna
New Zealand,Curious Cove
US,Stein Family
US,Alfaro Family
Portugal,Casal dos Jordões
France,Cave de Genouilly
US,Small Wonders
France,Benoît Girard
US,Pressed
US,Elements by Artesa
France,Domaine de Tara
US,Skylite Cellars
US,Spence
Spain,Ermita Veracruz
US,Sinatra Family
France,Château Grand Destieu
New Zealand,Chard Farm
France,Jean-Claude Roux
Italy,La Cignozza
US,The Lost Colony
Spain,Escalada Do Sil
US,La Pleïade II
Italy,Pojer & Sandri
Italy,Puiatti
US,Tate Creek
France,Miradou
US,Napa Glen
France,Château Tour Saint Vincent
France,Cordier
US,Halcyon
Uruguay,Bodegas Carrau
US,Freelander
US,Manross
New Zealand,Mount Michael
Italy,Alberto Oggero
Italy,La Torricella
US,Club Deluxe
US,Pend d'Oreille
New Zealand,Sentinel
US,Kumbaya
Chile,Lucky7
New Zealand,Riparian
France,Domaine Franck Millet
Spain,Valquejigoso
US,Bailarin
Spain,El Molino de Puelles
France,Château Louis
Spain,Fuerza
US,Richard Perry
Italy,Cagliero
Austria,Wenzel
Slovenia,Sutor
Hungary,Serpens
,Somlói Vándor
US,Casa Tiene Vista
US,Spaghetti Red
US,Heitz
US,Malene Wines
US,Outlander
Italy,Sangiovese
US,Roshambo
Germany,Weingut Seck
Italy,Col di Rocca
France,La Confrérie de Oisly et Thésée
France,Marcel Martin
Italy,Voga
US,Año Verde
Italy,Corte Giona
US,Blue Oasis
France,Château Bel-Air Ouÿ
France,Château du Breuil
France,Château Fayat
US,Rubus
Italy,Sei Amici
Chile,Alto Roble
France,Château la Hargue
Australia,Cascabel
France,Château Capdet
France,Château de Cérons
France,Château des Cabans
US,Complexity
US,D'Anbino
New Zealand,Lamont
US,Nipa
South Africa,Sequillo
Australia,Inkwell
US,O-Neh-Da
Spain,Pemartín
